Plan_ID,Plan_Name,Provider_Company,URL,Product_Brochure_route,Plan_category,Coverage_Description,pricing,age, customer requirement, price structure, additional informations,Last_Updated
dental_040,CEO Pearl Medical Plan 5 / CEO Pearl Medical Plan (Worldwide) 5,AIA HK,https://www.aia.com.hk/zh-cn/products/health/ceo-pearl-medical-plan-5-series,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/ceo-pearl-medical-plan-5/CEOP5_en.pdf,health,"Medical reimbursement cover for hospitalisation, surgery, and pre/post-hospital care, including cancer treatment, dialysis, stroke rehabilitation and pregnancy complications; overall lifetime limit HK$50,000,000 (US$6,250,000), annual limit HK$20,000,000 (US$2,500,000), with deductible options HK$0/16,000/25,000/50,000 and geographical cover choices wor",,15 days-70,Hong Kong distribution only; add-on plan version must attach to a specified basic plan,Basic plan premium mode: annual/semi-annual/quarterly/monthly; add-on follows corresponding basic plan,no-claim deductible discount 10% every 2 claim-free years up to 100% (reset after claim),2026-03-04
dental_041,OptimaCEO Medical Plan / OptimaCEO Medical Plan – First Gift,AIA HK,https://www.aia.com.hk/en/products/health/optimaceo-medical-plan,https://www.aia.com.hk/content/dam/hk-wise/pdf/products/individuals/en/optimaceo-medical-plan/optimaceo-medical-plan-en.pdf,health,"Medical reimbursement plan with worldwide (optional excluding US) hospitalisation/surgery, full-cover core expenses (no itemised sublimit), cancer support including experimental dr",No premium amount disclosed in brochure; AIA Vitality gives 10% first-year premium discount (minimum 10% each renewal year subject to programme terms),15 days-45,"Standard underwriting; First Gift applicant must be an existing in-force OptimaCEO insured under designated annual premium mode, gestation >=22 weeks, carrying own","Base plan payment modes: annual/semi-annual/quarterly/monthly; add-on follows base plan. Annual deductible options HK$/US$: 0/0, 16,000/2,000, 25,000/3,125, 50,000/6,250, 88,000/11,000. First Gift: singl",Compassionate refund benefit equals 105% of Total Basic Premiums Paid for specified pregnancy/newborn death events; newborn can apply designated medical policy (currently OptimaCEO) via simplified underwriting within 15-90 days after birth,2026-03-04
dental_042,OptimaCEO Pearl Medical Plan / OptimaCEO Pearl Medical Plan – First Gift,AIA HK,https://www.aia.com.hk/zh-cn/products/health/optimaceo-pearl-medical-plan,https://www.aia.com.hk/content/dam/hk-wise/pdf/products/individuals/en/optimaceo-pearl-medical-plan/optimaceo-pearl-medical-plan-en.pdf.coredownload.inline.pdf,health,"Worldwide hospitalization and surgical reimbursement with full cover for core expenses (no itemized sublimit), lifetime limit HK$70,000,000, annual limit HK$30,000,000 plus extra a; cancer treatment including experimental drugs up to HK$500,000/year. First Gift includes newborn hospitalization/surgery with congenital condition cover up to HK$100,000, subject t",No premium amount shown in brochure; AIA Vitality offers 10% first-year premium discount and minimum 10% annual discount,15 days-45,"First Gift requires expectant mother who is an existing insured of an in-force OptimaCEO Pearl policy with annual premium payment mode, gest","Main plan premium modes: annual/semi-annual/quarterly/monthly (add-on follows basic); renewable yearly for life with renewal premium based on attained age and prevailing rates. First Gift: single premium, 1-year term, non-rene","annual deductible options (HK$0/16,000/25,000/50,000/88,000) with one-time deductible reduction option at ages 50/55/60/65; newborn may apply for OptimaCEO Medical Series via simplified underwriting (15-90 days after birth)",2026-03-04
dental_043,Executive Protect Group Insurance Plan (SME),AIA HK,https://www.aia.com.hk/en/products/group-insurance/executive-protect-group-insurance-plan,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/employee-benefits/sme-solution/executive-protect-en.pdf.coredownload.inline.pdf,health,"Group medical reimbursement for hospitalization and surgery in Asia (including Australia and New Zealand), with HK$5,000,000 annual and HK$12,500,000 lifetime limits; optional outpatient, maternity, dental and optical benefits, plus worldwide emergency assistance",,65,Minimum 3 full-time employees for the core plan (and each optional benefit); employees in the same class must join the same core plan and deductible,"Annual renewable premium; deductible options HK$0/HK$16,000/HK$25,000 per policy year (higher deductible for lower premium)","Conversion option for companies with 10+ employees: insured aged 65 or below, medically underwritten and covered for at least 2 consecutive",2026-03-04
dental_044,CEO Pro (Group health & medical solutions for SMEs),AIA HK,https://www.aia.com.hk/en/products/group-insurance/ceo-pro,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/employee-benefits/sme-solution/CEOPro_en.pdf,health,"Group medical reimbursement plan with worldwide (or worldwide excluding North America) cover for hospitalization, surgery, post-hospitalisation, outpatient and emergency care; annual limit HK$16,000,000 and lifetime limit HK$40,000,000",,65,Minimum 3 full-time employees; same-class employees must join the same basic plan (and same optional benefits if selected),"Annual renewable group premium with yearly review/adjustment; Insurance Authority levy applies (general business levy rate up to 0.1%, capped at HK$5,000)",US coinsurance applies to non-emergency US treatment (50% member share for US citizens or stays over 182 days); conversion option available after 2 consecutive years for medically underwritten insured aged 65 or below,2026-03-04
dental_011,ManuPlan (EN; optional dental mentioned),Manulife HK,https://www.manulife.com.hk/en/corporations/products/insurance/group-life-and-health/manuplan.html,https://www.manulife.com.hk/content/dam/insurance/hk/en/documents/products/group-life-and-health/manuplan.pdf,health,"Tailor-made employer plan with term life and hospital & surgical benefits; optional AD&D, LTD, TPD/TDI, supplementary major medical, clinical, dental and maternity coverage",,15 days-59,"Company enrolment minimum 3 employees; underwriting required for 3-9 insured employees, generally waived for 10+ group medical members","Tailor-made group premium, annual renewable; premium rates can be adjusted each policy anniversary",Single combined life+medical policy or separate policies; optional conversion privilege to designated individual plans when employment ends,2026-03-04
dental_045,ManuPlan（專業僱員保障計劃）,Manulife HK,https://www.manulife.com.hk/en/corporations/products/insurance/group-life-and-health/manuplan.html,https://www.manulife.com.hk/content/dam/insurance/hk/en/documents/products/group-life-and-health/manuplan.pdf,health,"Tailor-made group employee protection with term life death benefit, long-term disability (up to 70% of pre-disability monthly earnings), optional AD&D/TPD/TDI, and medical cover in",Tailor-made quotation only; premium information is provided by Manulife servicing agents and premium rates may be adjusted at each policy anniversar,15 days-64,"Employer group with at least 3 insured employees; underwriting by group size (3-9: evidence required, >=10: no underwriting for group medical)",Yearly renewable group policy; premiums are reviewed on each policy anniversary,"24-hour worldwide coverage with emergency assistance; optional life/medical conversion privileges on employment cessation; optional network doctor services (about 1,900 silver-card and 2,100 gold-card doctors in Hong Kong)",2026-03-04
dental_046,EliteCare（精英倍保醫療計劃）,Manulife HK,https://www.manulife.com.hk/en/corporations/products/insurance/group-life-and-health/elitecare.html,https://www.manulife.com.hk/content/dam/insurance/hk/en/documents/products/group-life-and-health/elite-care.pdf,health,"Hospital & Surgical benefits (100% reimbursement) with overall annual limit HK$1,200,000 (Plan 1) / HK$2,000,000 (Plan 2); optional Clinical, Dental and Maternity benefits","Annual premium per insured member (HK$), by attained age 0-64: Hospital & Surgical Plan 1 9,462-30,570, Plan 2 10,964-36; Clinical Plan 1 5,111-12,519, Plan 2 6,955-14,969",15 days-64,Companies with >=3 employees; insured members must be Hong Kong residents,Age-banded annual premium per insured member by Plan 1/2 and coverage type; non-annual payment uses fixed factors,"Underwriting: 3-9 insured employees require evidence of insurability, 10+ no underwriting; conversion privilege for groups with 20+ insured employees; yearly renewable with no guaranteed renewal",2026-03-04
dental_047,Take Care Personal Accident Plan / Benefit 2,Manulife HK,https://www.manulife.com.hk/en/individual/products/health/accident-protection/take-care-personal-accident-plan-benefit-2.html,https://www.manulife.com.hk/content/dam/insurance/hk/en/documents/products/health/take-care-2-personal-accident-plan-2-product-brochure.pdf,personal accident,"Accidental death/loss of use or dismemberment up to 100% of notional amount; total disablement benefit 1% of notional amount per month (after 12 consecutive months of disability, with injury resulting within 180 days of accident); medical indemnity reimbursement up to 6% of notional amount per accident with treatment sub-limits","Premium rate (HKD, per HKD1,000 notional amount/year): Band 1 Class 1 4.62 / Class 4 9.24; Band 2 Class 1 3.42 / Class 4 6.84",16-65,No health questions at application; aimed at customers able to pay ongoing premiums for protection,Yearly renewable and non-guaranteed; payment mode annual/semi-annual/quarterly/monthly,No savings element or cash value; premium payment period and benefit period up to age 75; includes International Medical Assistance and Mainland China Hospital Admission Guarantee services,2026-03-04
dental_014,智選團體醫療保險計劃（with Dental）,Sun Life HK,https://www.sunlife.com.hk/content/dam/sunlife/legacy/assets/hk/Insurance/Group%20Health%20Benefits/2018%20Group%20Medical_withDental_C.pdf,https://www.sunlife.com.hk/content/dam/sunlife/legacy/assets/hk/Insurance/Group%20Health%20Benefits/2018%20Group%20Medical_withDental_C.pdf,health,"Group medical coverage with inpatient/surgery (HS0-HS3), including room & board, surgery, ICU and related hospital expenses; includes overseas accident hospitalization (+50% inpatient/surgery limits), optional outpatient (OP0-OP3) and medical supplemental (MM0-MM3), plus DT1 basic dental care","Hospital & surgical annual premium (per member): employee HK$586-11,176, spouse HK$791-15,088, child HK$791-3,620 (by age/HS level); optional MM HK$433-1,643/year, OP HK$904-6,064/year; DT1 dental HK$460/member/year.",15 days-69,Company with >=3 employees; all eligible full-time employees must join hospital & surgical cover,Annual premium prepaid by employer; per-member premium is age-band + plan-level based,"Non-guaranteed renewal; employee/spouse entry up to age 65, renewable to 69 subject to yearly underwriting at age 65-69; children eligible to <19 (or <23 if full-time student)",2026-03-04
dental_015,「企智選」團體僱員福利保障（含牙科）,China Life (HK),https://www.chinalife.com.hk/zh-hk/products/employee-benefits-protection,https://www.chinalife.com.hk/sites/default/files/employee-benefits/flexCorpGroupMedicalInsurance202104_TC.pdf,group medical insurance,"Customizable group medical plan covering inpatient and surgery, pre-admission and post-discharge follow-up, hospital cash benefit and accidental injury extra compensation; optional critical illness inpatient top-up, outpatient (including dental), maternity and 24-hour global emergency support, subject to benefit schedule limits.",,15 days-70,"Hong Kong-registered company with at least 3 full-time employees; employee must hold HK/Macau ID or valid work visa; if dependants are covered, all eligible spouse and unmarried children must join.",Annual premium in HKD; premium rate reviewed at each policy anniversary; insurance levy applies.,"1-year term with guaranteed renewal; over 3,000 network providers with medical-card cashless/claimless outpatient service; online outpatient claims up to HK$5,000 can be approved as fast as 1 working day.",2026-03-04
dental_016,「灣區門診通」保障計劃（含牙科洗牙）,CTF Life,https://corpweb.ctflife.com.hk/tc/product/health/gba-mediaccess-outpatient-insurance-plan,https://corpweb.ctflife.com.hk/pdf/en/products/life-insurance/health/gba-mediaccess-product-brochure.pdf,health,"GP outpatient (face-to-face/online, up to 3-day basic medication), traditional Chinese medical outpatient consultation (referral required), annual dental scaling, proactive health; shared annual consultation cap by plan: 12 / 20 / 25-30 visits","Annual premium: HKD 1,888 (Plan 1), HKD 2,688 (Plan 2), HKD 3,858 (Plan 3), covering insured + up to 2 designated family members; copayment per consultation: HKD 20 (Hong Kong) / MOP 20 (Macau) / CNY 8 (Mainland China).",15 days-80,Policy owner is the insured; up to 2 designated immediate family members (spouse/child/parent),"Tiered annual premium by plan level (Plan 1/2/3), one policy covers insured + up to 2 family members; per-visit copayment","Coverage period up to age 81; yearly renewable without new insurability evidence (subject to premium/benefit revision or non-renewal notice); compassionate death benefit HKD 5,000 (insured only)",2026-03-04
dental_017,GBAssure Outpatient Plan (mentions dental care),FWD,https://www.fwd.com.hk/online-insurance/gbassure-outpatient-plan/en/,https://www.fwd.com.hk/images/v3/assets/blt563fac53dd3a847c/blt4f207c03812af069/685cf2def612296e63ecd0df/GBAssure_Outpatient_Plan_Product_Brochure_EN.pdf,health,"Outpatient medical cover via panel network in Hong Kong, designated Mainland GBA cities and Macau: GP face-to-face/online consultations (with medication delivery), Chinese medicine; subject to policy-year visit limits, co-payment and coinsurance","Annual premium table (HKD, effective 14 Apr 2025) shows listed figures from HK$2,480/year to HK$17,500/year (including HK$5,380, HK$6,480, HK$3,050, HK$6,600, HK$8,100 and HK$4,800).",15 days-76,"No health underwriting/medical exam; for Family Plan A/B, policy owner and insured must be the same person","Annual premium payment in HKD; premiums are non-guaranteed and may be adjusted at renewal (age, claims, medical inflation, persistency, expenses)",Online GP co-payment is waived when no drug prescription is issued; Family Plan A/B uses one premium for unlimited family members; psychiatric consultation has 180-day (mental illness) and 2-year (perinatal depression) waiting periods,2026-03-04
dental_018,Cigna Platinum Plan (International Vision & Dental optional module),Cigna Healthcare HK,https://www.cigna.com.hk/en/medical-insurance/global-plan,https://www.cignaglobal.com/dvc-pdfs/Generic-178/en/200592%20CGHO%20Hong%20Kong%20Product%20Summary%20EN_02_2024.pdf,health,"International medical insurance (Platinum) for inpatient/daypatient hospitalisation, accommodation, cancer and mental health; annual overall maximum paid in full. Optional International Vision & Dental adds 1 eye test per period, eyewear up to US$310/€245/£200, and dental cover up to US$5,500/€4,300/£3,50",,18,standalone individual policy; beneficiaries must be expatriates,1-year renewable term; premiums age-based and adjusted each renewal,"vision/dental waiting periods: 3 months (preventative/routine), 12 months (major restorative), 18 months (orthodontic); 21-day free-look; prior authorisation needed for inpatient/daypatient",2026-03-04
dental_019,Bupa Together (Shared Benefit Insurance Plan),Bupa Hong Kong,https://www.bupa.com.hk/en/medical-insurance/together2/,https://www.bupa.com.hk/-/media/files/pdf/alltogether/alltogether-brochure-sob.pdf,health,"Hospital and surgical cover with a shared HK$5,000,000 annual benefit pool per policy; full cover at Bupa network providers in Hong Kong (subject to terms) or non-network reimbursement at 80% (Plan A, 20% coinsurance) / 100% (Plan B, 0% coinsurance); area of cover: Asia, Australia and New Zealand","Hospital and Surgical discounted premium per person (age 41): single enrolment Plan A HK$11,845/year (HK$1,066/month), Plan B HK$13,474/year (HK$1,213/month); family enrolment discounts give age-41 Plan A HK$10,068/year (2 persons) or HK$9,476/year (3+ persons). Optional benefits",15 days-80,"Policy holder age 18+; insured must be the policy holder or eligible family member (spouse, child, grandchild, parents, grandparents, siblings, domestic partner, o",Age-banded per-person premiums; annual or monthly payment,No medical examination is required at application (Bupa may request a check-up report for overweight/underweight BMI or age 65+ at enrolment; guaranteed lifetime renewal; medical card subject to eligibility requirements,2026-03-04
dental_020,Premium Free Annual Insurance Plan (includes Annual Dental Insurance Plan),CCB (Asia),https://www.asia.ccb.com/hongkong/personal/credit_cards/premium_free_annual_insurance_plan.html,https://www.asia.ccb.com/hongkong_sc/personal/credit_cards/pdf/annual_insurance_plan_form.pdf,health,"Annual dental, general practice outpatient, or medical check-up healthcare services via appointed or any clinics/laboratories under a master group policy; participating providers may direct bill, while excluded or excess expenses are payable by the member",Enrollment fee: Dental HKD150 (appointed)/HKD80 (any); GP Outpatient HKD330 (appointed)/HKD80 (any),,Principal CCB (Asia) credit cardmember with valid account; complete enrollment/renewal form within 20 business days from card issuance,"Plan-option enrollment fee, plus optional per-subscription and transfer service fees, with possible year-end administrative charge if card-u",Only one core plan can be selected. Extra subscription applies only to Dental and Medical Check-up plans (up to 3 dependents). Benefit trans; eye card and Construction Industry UnionPay Dual Currency card are eligible for Dental plan only,2026-03-04
dental_021,Self-pay Dental Scheme,HKU,https://rewards.hku.hk/spds/,https://rewards.hku.hk/wp-content/uploads/2025/08/DB_App_Form_2025-2026.pdf,dental,"Annual scaling/polishing (1x/year); unlimited oral exam, dental consultation, intra-oral X-ray, emergency dressing/abscess drainage, office-hours emergency consultation, and pain/infection drug therapy; fillings, simple extraction, orthodontic/specialist/other treatments at preferential rates","HK$400 per person scheme fee; additional treatments at HKU preferential rates (e.g., filling HK$450-1,350, extraction HK$630-900, implant HK$18,000-27,000).",,HKU student/staff/retiree applicants; submit application form with HKU staff/student card copy (retirees quote staff no.),Flat per-person scheme fee paid in full regardless of join date; no refund for mid-year termination,Voluntary enrollment; eligible persons can join anytime; service starts after confirmation,2026-03-04
dental_022,HKU Dental Care Plan product page,EC Healthcare eShop,https://eshop.echealthcare.com/product/%E6%81%92%E5%81%A5%E7%89%99%E7%A7%91%E4%BF%9D%E5%81%A5%E8%A8%88%E5%8A%83-%E9%A6%99%E6%B8%AF%E5%A4%A7%E5%AD%B8%E5%B0%88%E7%94%A8-dental-care-plan-for-staff-of-the-university-of-hong-kong/,https://eshop.echealthcare.com/product/%E6%81%92%E5%81%A5%E7%89%99%E7%A7%91%E4%BF%9D%E5%81%A5%E8%A8%88%E5%8A%83-%E9%A6%99%E6%B8%AF%E5%A4%A7%E5%AD%B8%E5%B0%88%E7%94%A8-dental-care-plan-for-staff-of-the-university-of-hong-kong/,dental,"Dental care plan with appointment-based services, including dental cleaning; cleaning slots are limited and handled first-come-first-served",HK$480/year (Plan K21),,For HKU staff; family members can also join (no limit on number),One-time full annual fee; no full or pro-rata refund,"Membership term is fixed from 2025-09-01 to 2026-08-31; application processing takes about 10 working days, and booking should be made after SMS activation confirmation",2026-03-04
dental_023,Voluntary User-Pay Dental Service Scheme (VUPDSS),CUHK,https://www.umso.cuhk.edu.hk/2024-2025-voluntary-user-pay-dental-service-scheme-vupdss-2/,https://www.umso.cuhk.edu.hk/wp-content/uploads/VUPDSS-Application-Form-2025-26_Health-Care-Dental-Services-Limited.pdf,dental,"Preventive and basic restorative care: oral check-up/hygiene instruction, intra-oral X-ray (when needed), fluoride, fillings for new caries (anterior composite/posterior amalgam),; scaling & polishing is 1 visit (K21) or 2 visits (K12); excludes specialist care, wisdom/surgical/orthodontic extractions, and OPG/CT/large radiographs",HK$400/year (K21) or HK$570/year (K12) per member for 1 Sep 2025-31 Aug 2026.,,CUHK student/staff/retiree membership type; eligible dependents may enroll,"Fixed annual fee per member by plan tier (K21/K12), paid in full upfront; no prorated or mid-year refund",Plan valid until 31 Aug 2026 (apply by 31 May 2026); enrollment takes about 10 working days; scaling booking should be made at least 2 months before expiry,2026-03-04
dental_024,Dental Care Plan for Students (2025–2026),EdUHK,https://www.eduhk.hk/sao/upload/files/1/file/687db974ecbbf.pdf,https://www.eduhk.hk/sao/upload/files/1/file/687db974ecbbf.pdf,dental,"1x scaling & polishing; unlimited oral check-up/hygiene instruction, intra-oral X-ray (if needed; excludes OPG), fluoride varnish, caries fillings, simple extraction (excluding wisdom/surgical/orthodontic), office-hour temporary pain relief, non-surgical abscess drainage, and r",,,EdUHK students,,Coverage valid until 2026-08-31; unused items forfeited with no extension; >15 minutes late counts as no-show and deducts one scaling/polishing visit,2026-03-04
dental_025,Student Dental Services,PolyU,https://www.polyu.edu.hk/uhs/our-services/student-dental-services/,https://www.polyu.edu.hk/uhs/our-services/student-dental-services/,dental,"Campus Student Dental Clinic services under the Student Dental Benefit Scheme for full-time students; appointment-based dental care during consultation hours, with emergency routing after hours",HK$30 penalty per 15-minute dentist appointment or per 30-minute hygienist appointment if cancelled with less than 24 hours' notice.,,Eligible PolyU full-time students; one-month service grace period after graduation eligibility confirmation,Per-visit charge schedule (in scheme leaflet) plus fixed HK$30 late-cancellation/no-show penalty by appointment block,"booking via phone, online, or in person; clinic at Room GH020, Core H",2026-03-04
